order_id,total_weight_kg,zone_x,zone_courier,expected_charge,billing_amount_rs,amount_diff,charge_category
2001811809,0.5,b,d,53.5,86.7,-33.2,Overcharged
2001812195,0.5,b,d,33.0,90.2,-57.2,Overcharged
2001812650,0.563,b,d,33.0,90.2,-57.2,Overcharged
2001812838,0.558,b,b,53.5,102.3,-48.8,Overcharged
2001812854,2.572,b,d,89.6,269.4,-179.79999999999998,Overcharged
2001812941,0.5,b,d,33.0,90.2,-57.2,Overcharged
2001813009,0.72,b,d,33.0,90.2,-57.2,Overcharged
2001814580,0.127,b,d,53.5,86.7,-33.2,Overcharged
2001815688,0.22,b,d,33.0,45.4,-12.399999999999999,Overcharged
2001816131,0.554,b,d,33.0,90.2,-57.2,Overcharged
2001816684,0.92,d,d,86.7,172.8,-86.10000000000001,Overcharged
2001816996,0.5,b,d,33.0,45.4,-12.399999999999999,Overcharged
2001817093,1.357,b,b,110.1,151.1,-41.0,Overcharged
2001817160,0.7,d,d,86.7,172.8,-86.10000000000001,Overcharged
2001818390,0.841,e,e,107.3,213.5,-106.2,Overcharged
2001819252,0.27,e,b,56.6,33.0,23.6,Undercharged
2001820690,0.065,b,d,33.0,45.4,-12.399999999999999,Overcharged
2001820978,0.515,b,d,33.0,45.4,-12.399999999999999,Overcharged
2001821185,2.098,b,d,89.6,224.6,-135.0,Overcharged
2001821190,1.2,d,d,86.7,258.9,-172.2,Overcharged
2001821284,0.177,b,d,33.0,45.4,-12.399999999999999,Overcharged
2001821502,0.558,b,d,33.0,90.2,-57.2,Overcharged
2001821679,0.165,b,d,33.0,45.4,-12.399999999999999,Overcharged
2001821742,0.24,b,d,33.0,45.4,-12.399999999999999,Overcharged
2001821750,0.755,b,d,33.0,90.2,-57.2,Overcharged
2001821766,0.24,b,d,33.0,45.4,-12.399999999999999,Overcharged
2001821995,0.477,b,d,33.0,45.4,-12.399999999999999,Overcharged
2001822466,1.376,b,d,61.3,135.0,-73.7,Overcharged
2001823564,0.672,d,d,86.7,172.8,-86.10000000000001,Overcharged
2001825261,1.557,d,d,176.3,345.0,-168.7,Overcharged
2001827036,1.676,e,b,56.6,117.9,-61.300000000000004,Overcharged
